payment_id,order_id,amount,currency,method,error_code,error_reason,error_description,customer_id,timestamp,status,event_type,root_cause_bucket,diagnosed_bucket,confidence,final_bucket_used,action,reason,attempt_number,max_attempts_allowed,escalate,retry_at,action_taken,execution_status,recovered_amount,notes,execution_timestamp
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T13:50:11.925469+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T13:58:21.565871+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T13:58:34.458601+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T14:00:43.736922+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,Escalated to human review,2026-08-21T14:14:45.467984+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,Escalated to human review,2026-08-21T14:21:23.715996+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,Escalated to human review,2026-08-22T16:46:08.616976+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-22T16:46:21.065990+00:00
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient,abandoned_checkout,0.377,escalate_human,escalate_human,Model confidence 0.38 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,Escalated to human review,2026-08-22T16:46:32.419665+00:00
pay_3f54f4ed4b644d,order_ab9520b9213e49,1929.04,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0103,2026-07-22 21:30:30,failed,payment,retryable_transient,retryable_with_delay,0.549,escalate_human,escalate_human,Model confidence 0.55 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T13:50:11.930219+00:00
pay_3f54f4ed4b644d,order_ab9520b9213e49,1929.04,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0103,2026-07-22 21:30:30,failed,payment,retryable_transient,retryable_with_delay,0.549,escalate_human,escalate_human,Model confidence 0.55 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T13:58:21.570881+00:00
pay_3f54f4ed4b644d,order_ab9520b9213e49,1929.04,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0103,2026-07-22 21:30:30,failed,payment,retryable_transient,retryable_with_delay,0.549,escalate_human,escalate_human,Model confidence 0.55 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T13:58:34.461647+00:00
pay_3f54f4ed4b644d,order_ab9520b9213e49,1929.04,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0103,2026-07-22 21:30:30,failed,payment,retryable_transient,retryable_with_delay,0.549,escalate_human,escalate_human,Model confidence 0.55 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,"routed to human review, no automated action taken",2026-08-21T14:00:43.740479+00:00
pay_3f54f4ed4b644d,order_ab9520b9213e49,1929.04,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0103,2026-07-22 21:30:30,failed,payment,retryable_transient,retryable_with_delay,0.549,escalate_human,escalate_human,Model confidence 0.55 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,Escalated to human review,2026-08-21T14:14:45.475644+00:00
pay_3f54f4ed4b644d,order_ab9520b9213e49,1929.04,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0103,2026-07-22 21:30:30,failed,payment,retryable_transient,retryable_with_delay,0.549,escalate_human,escalate_human,Model confidence 0.55 below threshold 0.55 — cannot safely act on this diagnosis.,1.0,0.0,True,,escalate_human,skipped,0.0,Escalated to human review,2026-08-21T14:21:23.719637+00:00
